Main_Product,Sub_Product,Description,Quantity,Weight,MRP,Discount,Price
DESi POPz,Tangy Imli Popz,"100% Natural - Tamarind, Spices & Jaggery, Hand-made",50 PCS,400g,250,0,250
DESi POPz,ICE Popz,"12-Pack Assorted Ice Pops (Masala Cola, Mango, Berry, Imli)",12 PCS,70ml ,240,0,240
DESi POPz,Kaccha Aam Popz,"100% Natural - Sour Raw Mango & Jaggery, Hand-made",50 PCS,400g,250,0,250
DESi POPz,Real Aam Popz,"Real Mango & Jaggery, Hand-made",50 PCS,400g,250,0,250
DESi POPz,Chilli Guava Popz,"Pink Guava Bitz & Jaggery, Hand-made",50 PCS,400g,250,0,250
DESi POPz,POPz Combo Pack x 2,"Tangy Imli, Real Aam, Kaacha Aam, Chilli Guava",20 PCS/Pack,400g,200,0,200
DESi POPz,Chilli Orange Popz Bitz,"100% Natural - Orange & Jaggery, Hand-made",50 PCS,400g,250,0,250
DESi POPz,Masala Jamun Popz,"100% Natural - Jamun Bitz & Jaggery, Hand-made",50 PCS,400g,250,0,250
DESi POPz,Strawberry Popz - Kidz,"No Refined Sugar, Jaggery Lollipops, Hand-made",48 PCS,400g,220,0,220
DESi POPz,POPz Gift Basket,"7 Variants, 100% Natural with Jaggery, Hand-made",7 Varieties,N/A,450,7,420
DESi POPz,Popz Aam Combo,"Real Aam + Kaacha Aam, 100% Natural - Aam, Spices & Jaggery",50 PCS,400g,250,0,250
DESi POPz,POPz Combo (Kaccha Aam + Tangy Imli),"100% Natural, Hand-made with Jaggery",50 PCS,400g,250,0,250
DESi Meetha,Jaggery Kaju Katli,"Classic Sweets, Rich Indian Mithai",1 Box,200g,399,25,299
DESi Meetha,Premium Kaju Katli,"61% Cashews, Classic Sweets",1 Box,200g,450,50,225
DESi Meetha,Rose Kaju Katli,"Classic Sweets, Rich Indian Mithai",1 Box,200g,399,25,299
DESi Meetha,Dry Fruit Chikki,"Classic Sweets, Rich Indian Mithai",Pack of 6,200g,240,8,220
DESi Meetha,Dry Fruit Laddoo,"No Refined Sugar, Classic Indian Mithai",2 Packs,200g ,800,19,650
DESi Meetha,Dry-Fruit Date Bars,"100% Natural – Anjeer, Dates, Badam & Cashews",1 Pack,200g,500,40,299
DESi Meetha,Besan Laddoo,"100% Pure Ghee, Classic Indian Mithai",1 Pack,200g,200,1,199
DESi Meetha,Mysore Pak,"Made with Ghee, Classic Indian Mithai",1 Pack,200g,250,0,250
DESi Meetha,Premium Badam Katli,"Rich Indian Mithai, Classic Sweets",1 Box,200g,300,17,249
DESi Meetha,Coconut Laddoo,"Jaggery, Classic Indian Mithai",1 Pack,300g,399,50,199
DESi Meetha,Kaju Katli Box,"Classic Sweets, Rich Indian Mithai",1 Box,200g,220,18,180
DESi Meetha,Kaju Katli Bar,"Classic Sweets, Indian Mithai",2 Bars,200g,400,25,299
DESi Meetha,Pista Barfi,"Dry Fruit Coconut Barfi, Goodness of Jaggery",1 Box,420g,600,17,499
DESi Meetha,Badam Barfi,"Dry Fruit Coconut Barfi, Goodness of Jaggery",1 Box,420g,600,17,499
DESi Meetha,Kaju Kishmish Barfi,"Dry Fruit Coconut Barfi, Goodness of Jaggery",1 Box,420g,600,25,499
DESi Bytes,Baked Ragi Chips,"All-day Snacks, Namkeen",1 Pack,250g,450,0,450
DESi Bytes,Spicy Lemon Bytes,"Sun-dried Lemon Snack, 100% Natural",1 Pack,200g,399,45,220
DESi Bytes,Chatpata Amla Bytes,"Sun-dried Amla Snack, 100% Natural",1 Pack,300g,399,40,240
DESi Bytes,Chatpata Guava Bytes,"Sun-dried Guava Snack, 100% Natural",1 Pack,150g,399,40,240
DESi Bytes,Chilli Pineapple Bytes,"Sun-dried Pineapple Snack, 100% Natural",1 Pack,150g,399,40,240
DESi Bytes,Tangy Pineapple Bytes,"Sun-dried Pineapple Snack, 100% Natural",1 Pack,150g,399,40,240
DESi Mints,Choco Meetha Paan,"100% Natural Refreshment, Choco-coated Mints",20 Sachets,N/A,250,20,200
DESi Mints,Meetha Paan Mints,"100% Natural - Betel leaves, Sweet dates, Saunf & Elaichi",40 Sachets,N/A,320,38,199
DESi Mints,Meetha Paan Mints (Pack of 2),"100% Natural - Betel leaves, Sweet dates, Saunf & Elaichi",2 Units,90g ,320,19,260
FRUTi Twist,Real Aam,Mango Fruit Jelly,40 PCS,320g,280,29,200
FRUTi Twist,Kaccha Aam,Raw Mango Fruit Jelly,40 PCS,320g,280,29,200
FRUTi Twist,Guava,Guava Fruit Jelly,40 PCS,320g,280,29,200
